                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    133,                 0.6378,                0.34631,                 1.1132,                0.96769,                0.98246,                0.98888,                0.86834,                0.62892,                0.26149,                 1.1511,               0.003466,               0.003466,               0.003466
                    134,                0.64511,                0.34646,                 1.1161,                0.96892,                0.98172,                0.98886,                0.86846,                0.62887,                0.26158,                 1.1511,              0.0034165,              0.0034165,              0.0034165
                    135,                 0.6416,                0.35032,                 1.1144,                0.96757,                0.98216,                0.98881,                 0.8687,                0.62886,                0.26164,                 1.1512,               0.003367,               0.003367,               0.003367
                    136,                0.64038,                0.34479,                 1.1104,                0.96799,                0.98111,                 0.9888,                0.86815,                0.62896,                0.26173,                 1.1513,              0.0033175,              0.0033175,              0.0033175
                    137,                0.64273,                0.34641,                 1.1135,                0.96784,                0.98115,                0.98879,                0.86787,                 0.6287,                0.26185,                 1.1512,               0.003268,               0.003268,               0.003268
                    138,                0.63437,                0.34226,                 1.1128,                0.96778,                0.98131,                0.98883,                0.86783,                0.62871,                0.26158,                 1.1513,              0.0032185,              0.0032185,              0.0032185
                    139,                0.63586,                0.34258,                 1.1107,                0.96837,                0.98042,                0.98882,                0.86761,                0.62877,                 0.2611,                 1.1514,               0.003169,               0.003169,               0.003169
                    140,                0.63024,                0.34114,                 1.1065,                0.96862,                0.97985,                0.98869,                0.86744,                0.62879,                 0.2609,                 1.1515,              0.0031195,              0.0031195,              0.0031195
                    141,                 0.6383,                0.34151,                 1.1113,                0.97337,                0.97507,                0.98869,                0.86765,                0.62894,                0.26092,                 1.1517,                0.00307,                0.00307,                0.00307
                    142,                 0.6244,                0.33701,                 1.1054,                0.97353,                 0.9751,                0.98868,                0.86764,                0.62895,                0.26059,                 1.1519,              0.0030205,              0.0030205,              0.0030205
                    143,                0.63235,                0.34154,                 1.1109,                0.97337,                0.97521,                0.98866,                0.86773,                0.62909,                0.26065,                 1.1521,               0.002971,               0.002971,               0.002971
                    144,                0.63185,                  0.337,                 1.1088,                0.96846,                0.98002,                0.98869,                0.86784,                0.62924,                0.26074,                 1.1524,              0.0029215,              0.0029215,              0.0029215
                    145,                0.63062,                0.33706,                 1.1067,                0.96854,                0.97999,                0.98869,                 0.8678,                0.62946,                0.26064,                 1.1526,               0.002872,               0.002872,               0.002872
                    146,                 0.6299,                0.33418,                 1.0999,                0.96865,                0.97984,                0.98869,                0.86798,                0.62961,                0.26058,                  1.153,              0.0028225,              0.0028225,              0.0028225
                    147,                0.62012,                0.33371,                 1.1015,                0.97269,                0.97558,                0.98869,                 0.8676,                0.62976,                0.26055,                 1.1532,               0.002773,               0.002773,               0.002773
                    148,                0.62331,                0.33412,                 1.1009,                0.97266,                0.97565,                0.98864,                0.86735,                0.62982,                0.26076,                 1.1533,              0.0027235,              0.0027235,              0.0027235
                    149,                0.62401,                0.32999,                 1.1016,                0.97289,                0.97561,                0.98868,                0.86776,                 0.6298,                0.26091,                 1.1533,               0.002674,               0.002674,               0.002674
                    150,                0.61362,                0.32831,                 1.0965,                0.96921,                0.97958,                0.98879,                0.86835,                0.62975,                0.26087,                 1.1534,              0.0026245,              0.0026245,              0.0026245
                    151,                0.62278,                0.32763,                 1.0979,                0.96937,                0.97945,                0.98874,                0.86839,                0.62981,                0.26076,                 1.1535,               0.002575,               0.002575,               0.002575
                    152,                0.61832,                0.32962,                 1.1023,                0.96925,                0.97951,                0.98872,                0.86836,                0.62992,                0.26035,                 1.1536,              0.0025255,              0.0025255,              0.0025255
                    153,                0.60758,                0.32667,                 1.0942,                0.97277,                 0.9762,                0.98866,                0.86864,                 0.6299,                0.26035,                 1.1539,               0.002476,               0.002476,               0.002476
                    154,                0.61537,                 0.3263,                 1.0993,                0.97281,                0.97611,                0.98869,                0.86808,                0.63002,                0.26043,                  1.154,              0.0024265,              0.0024265,              0.0024265
