Vertex1,Vertex2,Type,Date,Text,Link,Likes,Quotes,Retweets,Comments
@BBYNews,@originaluser,Retweet,"Jul 14, 2021 · 4:41 PM UTC",Best Buy customers can now donate to Teen Tech Centers at checkout https://bby.me/qdhmca,https://twitter.com/BBYNews/status/1415350861233106944#m,,,,
@BestBuy,https://twitter.com/BestBuy/status/1415325237290352641#m,Posted,"Jul 14, 2021 · 3:00 PM UTC",Need help digitally managing documents? We’ll get you set up with a wireless scanner. Just check out our video. https://bby.me/qf29xe,https://twitter.com/BestBuy/status/1415325237290352641#m,24,0,5,3
@BestBuy,https://twitter.com/BestBuy/status/1414653770059984897#m,Posted,"Jul 12, 2021 · 6:31 PM UTC","Is it ""turning down"" or ""turning up"" your AC?",https://twitter.com/BestBuy/status/1414653770059984897#m,151,7,12,73
@BestBuy,https://twitter.com/BestBuy/status/1413554514314072066#m,Posted,"Jul 9, 2021 · 5:43 PM UTC",Love tech? Love your brand? Join the #BestBuyCollegeCrew. Learn more and apply. https://bby.me/knh89v,https://twitter.com/BestBuy/status/1413554514314072066#m,31,1,6,22
@BestBuy,https://twitter.com/BestBuy/status/1412540954326802436#m,Posted,"Jul 6, 2021 · 10:36 PM UTC","Meet the Nintendo Switch (OLED model) with a vibrant new screen. It’ll be available 10/8, so sign up for the latest updates. https://bby.me/4bs65t",https://twitter.com/BestBuy/status/1412540954326802436#m,384,6,50,55
@BestBuy,https://twitter.com/BestBuy/status/1412063720088510469#m,Posted,"Jul 5, 2021 · 3:00 PM UTC",Getting a KitchenAid Stand Mixer? Check out this video to learn about set up and get familiar with one of the accessories. https://bby.me/uyru6b,https://twitter.com/BestBuy/status/1412063720088510469#m,21,1,2,8
@BestBuy,https://twitter.com/BestBuy/status/1411731532176232448#m,Posted,"Jul 4, 2021 · 5:00 PM UTC",Hope you have a crystal-clear view of the fireworks this year.,https://twitter.com/BestBuy/status/1411731532176232448#m,57,1,10,8
@BestBuy,https://twitter.com/BestBuy/status/1410644367535181833#m,Posted,"Jul 1, 2021 · 5:00 PM UTC",Retweet if you love your TV and you don’t care who knows it.,https://twitter.com/BestBuy/status/1410644367535181833#m,95,1,53,30
@BestBuy,https://twitter.com/BestBuy/status/1410236684826984448#m,Posted,"Jun 30, 2021 · 2:00 PM UTC","The Breville Bluicer juices, blends and so much more. Watch the video and see how to do it all. https://bby.me/7jgy3t",https://twitter.com/BestBuy/status/1410236684826984448#m,19,0,2,1
@BestBuy,https://twitter.com/BestBuy/status/1408832433500344323#m,Posted,"Jun 26, 2021 · 5:00 PM UTC",Ready for super high-def streaming? Then you’re ready for the Amazon Fire Stick 4K. We can show you how to set it up. https://bby.me/w4r9av,https://twitter.com/BestBuy/status/1408832433500344323#m,33,0,5,18
@BestBuy,https://twitter.com/BestBuy/status/1408539752165412869#m,Posted,"Jun 25, 2021 · 9:37 PM UTC","Get a fresh perspective. The new Windows 11 is here to help you better think, create, connect and more.",https://twitter.com/BestBuy/status/1408539752165412869#m,35,0,10,12
@BestBuy,https://twitter.com/BestBuy/status/1408424747382325253#m,Posted,"Jun 25, 2021 · 2:00 PM UTC","Just arrived: Beats Studio Buds. With their built-in true wireless noise cancelling, they’re made for music.",https://twitter.com/BestBuy/status/1408424747382325253#m,47,0,7,11
@BBYNews,https://twitter.com/BBYNews/status/1408040684439937024#m,Posted,"Jun 24, 2021 · 12:33 PM UTC",Best Buy commits to spending $1.2 billion with BIPOC and diverse businesses by 2025. Learn more: https://bby.me/tazckx,https://twitter.com/BBYNews/status/1408040684439937024#m,41,0,8,17
@BBYNews,@originaluser,Retweet,"Jun 24, 2021 · 12:33 PM UTC",Best Buy commits to spending $1.2 billion with BIPOC and diverse businesses by 2025. Learn more: https://bby.me/tazckx,https://twitter.com/BBYNews/status/1408040684439937024#m,,,,
@BestBuy,https://twitter.com/BestBuy/status/1408062364050722816#m,Posted,"Jun 24, 2021 · 2:00 PM UTC",Agent Taylor’s here with the Breville Barista Pro to prove that making fresh espresso is easier than you think. https://bby.me/nm2rj5,https://twitter.com/BestBuy/status/1408062364050722816#m,23,2,5,10
@BestBuy,https://twitter.com/BestBuy/status/1407370235393478656#m,Posted,"Jun 22, 2021 · 4:09 PM UTC",Chosen family—people you’re bonded to by shared experience—is a huge part of finding and declaring your LGBTQIA+ identity. We asked LGBTQIA+ employees from Best Buy what chosen family means to them. #MoreOfThis #Pride,https://twitter.com/BestBuy/status/1407370235393478656#m,28,1,8,16
@BBYNews,https://twitter.com/BBYNews/status/1404798835705143298#m,Posted,"Jun 15, 2021 · 1:51 PM UTC","Best Buy kicks off summer with expanded outdoor living products, new lineup from TUMI. https://bby.me/sjmbpa",https://twitter.com/BBYNews/status/1404798835705143298#m,22,1,6,10
@BBYNews,@originaluser,Retweet,"Jun 15, 2021 · 1:51 PM UTC","Best Buy kicks off summer with expanded outdoor living products, new lineup from TUMI. https://bby.me/sjmbpa",https://twitter.com/BBYNews/status/1404798835705143298#m,,,,
@BestBuy,https://twitter.com/BestBuy/status/1407020490493939715#m,Posted,"Jun 21, 2021 · 5:00 PM UTC",Bet AAA batteries can’t wait to get called up to the majors.,https://twitter.com/BestBuy/status/1407020490493939715#m,93,2,12,17
@BestBuy,https://twitter.com/BestBuy/status/1406620352868847623#m,Posted,"Jun 20, 2021 · 2:30 PM UTC","Happy Father's Day, Dad. The remote's all yours.",https://twitter.com/BestBuy/status/1406620352868847623#m,137,0,11,31
@BestBuy,https://twitter.com/BestBuy/status/1405933326116995078#m,Posted,"Jun 18, 2021 · 5:00 PM UTC","Look, Ma. No pedals.",https://twitter.com/BestBuy/status/1405933326116995078#m,48,2,12,22
@BestBuy,https://twitter.com/BestBuy/status/1405887143357128708#m,Posted,"Jun 18, 2021 · 1:56 PM UTC","They should rename wireless mice ""hamsters."" Because they're like mice without tails.",https://twitter.com/BestBuy/status/1405887143357128708#m,137,3,15,26
@BestBuy,https://twitter.com/BestBuy/status/1405268947734204418#m,Posted,"Jun 16, 2021 · 9:00 PM UTC","We believe in the power of tech to help LGBTQ people feel safe and seen. The world needs more lifelines. That's why we're a proud sponsor of @trevorproject, a vital lifeline for LGBTQ youth. #moreofthis #pride",https://twitter.com/BestBuy/status/1405268947734204418#m,39,1,6,19
@BestBuy,https://twitter.com/BestBuy/status/1405247656968994824#m,Posted,"Jun 16, 2021 · 7:35 PM UTC",Need some gift ideas for Father’s Day?  We’ve got tech Dad will love. https://bby.me/judr5z,https://twitter.com/BestBuy/status/1405247656968994824#m,37,0,7,29
